construct	displayProcedureName	gene	genotype	parameterId	parameterName	procedureName	sex	significanceValue	mgiAccessionId
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_092_001	Effector CD4- NKT cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_029_001	Total CD4+ NKT cells - % of NKT cells	Spleen Immuno Phenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_007_001	Resting CD4+ T helper cells - % of CD4+ T helper cells	Spleen Immuno Phenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Homozygous Fertility	Slc5a7	Mutant			Fertility of Homozygous Knock-out Mice	Both	1	MGI:1927126
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_074_001	Resting CD4+ T helper cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Slc5a7	Het	MGP_BCI_012_001	Monocyte percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_070_001	Total ab T cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Slc5a7	Het	MGP_BCI_003_001	Treg cell CD25+ percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Peripheral Blood Leukocytes	Slc5a7	Het	MGP_BCI_007_001	CD4+CD44+CD62L- percentage	Buffy coat peripheral blood leukocyte immunophenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Haematology	Slc5a7	Het	IMPC_HEM_005_001	Mean cell volume	Haematology	Female	2	MGI:1927126
tm1a(KOMP)Wtsi	Ear Epidermis	Slc5a7	Het	MGP_EEI_003_001	Vg5+ dendritic epidermal T cell (DETC) count	Ear epidermis immunophenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_025_001	Total CD4- NKT cells - % of NKT cells	Spleen Immuno Phenotyping	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Anti-nuclear Antibodies	Slc5a7	Het	MGP_ANA_001_001	ANA score	Anti-nuclear antibody assay	Male	2	MGI:1927126
tm1a(KOMP)Wtsi	Spleen	Slc5a7	Het	MGP_IMM_083_001	Naive CD8+ T cells - % of CD45+	Spleen Immuno Phenotyping	Male	2	MGI:1927126
